"transactionid";"customerid";"productid";"transactiondate";"quantity";"totalamount"
1;1936;422;"2025-08-27 00:00:00";3;549.9
2;1758;234;"2025-12-08 00:00:00";1;182.03
3;1136;284;"2025-06-14 00:00:00";5;2194.9
4;265;183;"2025-06-10 00:00:00";2;934.6
5;39;50;"2025-06-12 00:00:00";3;1449.3
6;2438;474;"2025-06-27 00:00:00";3;1453.95
7;2043;426;"2025-09-08 00:00:00";4;1629.32
8;2420;88;"2026-03-18 00:00:00";4;1057.4
9;2360;461;"2026-03-03 00:00:00";2;126.64
10;2805;55;"2025-10-13 00:00:00";1;190.29
11;2488;22;"2026-01-29 00:00:00";2;677.58
12;168;309;"2025-07-11 00:00:00";5;699.6
13;1231;302;"2025-10-07 00:00:00";5;2115.2
14;2541;462;"2026-01-29 00:00:00";5;58.15
15;2656;27;"2025-06-29 00:00:00";5;801.9
16;1173;294;"2026-01-12 00:00:00";2;13.82
17;970;132;"2025-05-11 00:00:00";3;788.4
18;2962;45;"2025-06-24 00:00:00";5;2407.9
19;2457;64;"2025-09-18 00:00:00";4;80.32
20;2309;309;"2025-07-14 00:00:00";4;559.68
21;1128;240;"2026-01-12 00:00:00";3;1487.31
22;2508;310;"2025-06-10 00:00:00";1;16.89
23;2016;492;"2025-12-22 00:00:00";3;39.9
24;2435;362;"2025-12-12 00:00:00";2;443.28
25;847;311;"2025-12-14 00:00:00";4;280.48
26;1324;352;"2025-06-14 00:00:00";4;481.68
27;1418;328;"2025-07-15 00:00:00";1;352.15
28;691;224;"2025-10-20 00:00:00";3;545.46
29;1650;413;"2025-10-03 00:00:00";2;291.56
30;828;144;"2025-10-16 00:00:00";4;754.24
31;293;101;"2025-08-31 00:00:00";5;449.6
32;1043;256;"2026-01-22 00:00:00";2;345.0
33;873;91;"2025-11-30 00:00:00";5;1510.65
34;1029;151;"2025-12-27 00:00:00";2;502.18
35;680;274;"2025-12-19 00:00:00";3;412.26
36;2467;413;"2025-08-04 00:00:00";1;145.78
37;1102;12;"2026-01-16 00:00:00";4;851.92
38;1539;477;"2025-12-18 00:00:00";3;1025.25
39;2172;230;"2025-07-03 00:00:00";3;1317.66
40;444;76;"2026-02-22 00:00:00";4;437.48
41;2265;347;"2026-02-03 00:00:00";5;1901.8
42;684;200;"2026-01-04 00:00:00";5;1717.2
43;1597;217;"2025-06-30 00:00:00";4;748.8
44;194;119;"2026-04-03 00:00:00";3;1107.93
45;2652;293;"2026-01-04 00:00:00";1;84.88
46;2168;319;"2025-07-06 00:00:00";3;994.44
47;2532;85;"2025-10-17 00:00:00";3;1258.26
48;489;143;"2025-09-30 00:00:00";1;84.68
49;2227;164;"2025-05-22 00:00:00";5;1696.75
50;1139;70;"2026-01-02 00:00:00";4;519.64
51;791;426;"2025-04-28 00:00:00";4;1629.32
52;834;362;"2025-12-19 00:00:00";2;443.28
53;1381;398;"2025-10-28 00:00:00";1;226.45
54;154;286;"2025-10-21 00:00:00";2;768.74
55;1807;365;"2025-12-28 00:00:00";5;1358.45
56;2104;194;"2026-03-04 00:00:00";2;583.36
57;1460;258;"2025-06-20 00:00:00";1;304.24
58;2771;126;"2025-09-28 00:00:00";5;2212.45
59;1639;475;"2025-10-08 00:00:00";4;1194.0
60;1216;469;"2026-01-17 00:00:00";3;15.3
61;2382;248;"2025-10-23 00:00:00";4;1963.92
62;2355;345;"2025-06-08 00:00:00";1;300.68
63;2692;414;"2025-12-19 00:00:00";3;1182.72
64;507;318;"2025-07-19 00:00:00";3;1072.89
65;1903;332;"2025-09-09 00:00:00";1;195.89
66;2551;185;"2025-10-09 00:00:00";3;696.27
67;2260;403;"2025-05-27 00:00:00";4;1109.28
68;393;312;"2025-06-20 00:00:00";5;795.3
69;2075;413;"2025-10-14 00:00:00";1;145.78
70;2937;177;"2025-06-17 00:00:00";3;368.07
71;1110;235;"2026-01-19 00:00:00";5;1545.25
72;217;256;"2025-08-14 00:00:00";1;172.5
73;1726;494;"2025-06-09 00:00:00";2;253.82
74;572;151;"2025-12-20 00:00:00";2;502.18
75;2505;290;"2025-08-15 00:00:00";2;283.04
76;1526;80;"2025-06-18 00:00:00";2;154.92
77;2711;35;"2026-04-04 00:00:00";4;170.56
78;997;273;"2025-07-20 00:00:00";4;1324.24
79;276;131;"2025-09-24 00:00:00";1;125.55
80;2726;463;"2025-05-18 00:00:00";4;409.16
81;1132;127;"2026-01-13 00:00:00";4;1246.6
82;299;194;"2025-07-10 00:00:00";4;1166.72
83;1444;58;"2025-12-31 00:00:00";3;312.12
84;222;169;"2025-09-29 00:00:00";1;219.61
85;735;463;"2025-04-10 00:00:00";4;409.16
86;602;63;"2026-01-26 00:00:00";4;1600.68
87;2230;35;"2026-03-23 00:00:00";4;170.56
88;2501;150;"2025-12-08 00:00:00";1;176.1
89;430;341;"2025-08-08 00:00:00";4;1789.68
90;2358;97;"2025-06-26 00:00:00";5;1248.1
91;1714;111;"2026-03-30 00:00:00";4;1408.72
92;612;453;"2025-09-03 00:00:00";5;929.8
93;57;303;"2025-12-02 00:00:00";3;166.38
94;1040;31;"2025-08-21 00:00:00";1;324.02
95;510;426;"2025-05-27 00:00:00";5;2036.65
96;2039;310;"2025-07-26 00:00:00";3;50.67
97;1232;292;"2026-03-13 00:00:00";1;235.81
98;2355;412;"2025-08-19 00:00:00";2;378.66
99;1963;41;"2025-04-21 00:00:00";4;749.44
100;1075;191;"2025-06-04 00:00:00";2;237.34
101;2472;379;"2026-01-28 00:00:00";5;1957.25
102;2395;467;"2026-01-15 00:00:00";3;217.02
103;2852;40;"2025-11-24 00:00:00";5;1612.9
104;1736;447;"2025-07-17 00:00:00";5;2445.3
105;2898;29;"2025-06-12 00:00:00";3;476.4
106;1963;323;"2026-02-28 00:00:00";1;330.79
107;2224;36;"2025-08-23 00:00:00";3;173.01
108;821;24;"2025-12-06 00:00:00";2;915.7
109;2125;32;"2025-12-19 00:00:00";1;363.82
110;1732;493;"2026-01-09 00:00:00";3;916.11
111;2546;341;"2025-07-13 00:00:00";1;447.42
112;1935;254;"2025-04-21 00:00:00";3;360.51
113;30;354;"2025-08-31 00:00:00";4;136.64
114;620;283;"2025-04-13 00:00:00";2;913.42
115;1381;107;"2025-05-14 00:00:00";1;57.7
116;1508;449;"2026-03-13 00:00:00";3;436.83
117;1658;164;"2025-07-21 00:00:00";2;678.7
118;2848;271;"2025-08-02 00:00:00";1;370.96
119;2138;2;"2026-02-28 00:00:00";5;1906.5
